;t;Brauendistanz(Pixel);AU27;Mund_Nasen_Falte(Pixel/Fenstergroesse);Tonlage;Emotion
0;0;40;0;22;130.0;et
1;0,1;40;1;21;127.0;u
2;0,2;42;0;26;130.0;et
3;0,3;41;0;24;132.0;et
4;0,4;40;0;23;131.0;et
5;0,5;42;1;21;135.0;u
6;0,6;42;0;20;134.0;et
7;0,7;41;0;23;135.0;et
8;0,8;41;0;21;134.0;et
9;0,9;41;0;24;130.0;et
10;1;41;0;23;129.0;et
11;1,1;41;0;28;131.0;et
12;1,2;41;0;21;135.0;et
13;1,3;40;0;24;133.0;et
14;1,4;41;1;22;137.0;u
15;1,5;41;0;26;141.0;et
16;1,6;41;0;26;138.0;et
17;1,7;41;0;27;140.0;et
18;1,8;40;0;24;138.0;et
19;1,9;40;0;24;137.0;et
20;2;41;0;27;140.0;et
21;2,1;42;0;23;137.0;et
22;2,2;40;0;27;138.0;et
23;2,3;41;0;21;140.0;et
24;2,4;40;0;21;135.0;et
25;2,5;40;0;27;137.0;et
26;2,6;41;0;21;138.0;et
27;2,7;40;0;21;136.0;et
28;2,8;40;0;28;140.0;et
29;2,9;38;0;24;132.0;et
30;3;38;0;21;126.0;et
31;3,1;36;0;18;122.0;et
32;3,2;38;0;18;121.0;et
33;3,3;38;0;18;122.0;et
34;3,4;37;0;21;120.0;et
35;3,5;38;0;18;125.0;et
36;3,6;37;0;19;123.0;et
37;3,7;38;0;16;122.0;et
38;3,8;39;1;21;123.0;u
39;3,9;37;0;16;120.0;et
40;4;37;0;19;121.0;et
41;4,1;39;0;18;123.0;et
42;4,2;39;0;18;124.0;et
43;4,3;38;0;21;123.0;et
44;4,4;38;0;21;125.0;et
45;4,5;38;0;21;124.0;et
46;4,6;38;0;18;123.0;et
47;4,7;37;0;15;124.0;et
48;4,8;36;0;15;123.0;et
49;4,9;42;0;17;123.0;et
50;5;43;0;21;122.0;et
51;5,1;42;0;20;124.0;et
52;5,2;44;0;14;124.0;et
53;5,3;42;0;14;125.0;et
54;5,4;37;0;18;126.0;et
55;5,5;36;0;15;124.0;et
56;5,6;39;0;20;123.0;et
57;5,7;36;0;16;124.0;et
58;5,8;36;0;16;123.0;et
59;5,9;38;0;17;124.0;et
60;6;37;0;17;124.0;et
61;6,1;38;0;14;123.0;et
62;6,2;37;0;22;125.0;et
63;6,3;38;0;14;123.0;et
64;6,4;38;0;22;124.0;et
65;6,5;37;0;20;122.0;et
66;6,6;36;0;16;121.0;et
67;6,7;37;1;21;124.0;u
68;6,8;36;0;22;123.0;et
69;6,9;42;0;26;;et
70;7;41;0;24;;et
71;7,1;40;0;28;;et
72;7,2;40;0;25;;et
73;7,3;42;0;25;;et
74;7,4;40;0;25;;et
75;7,5;40;0;22;;et
76;7,6;41;0;21;;et
77;7,7;42;0;25;;et
78;7,8;41;0;23;;et
79;7,9;41;0;28;;et
80;8;42;0;24;;et
81;8,1;42;0;26;;et
82;8,2;40;0;22;;et
83;8,3;41;0;24;;et
84;8,4;41;0;26;;et
85;8,5;42;0;24;;et
86;8,6;41;0;26;;et
87;8,7;40;0;28;;et
88;8,8;41;0;28;;et
89;8,9;40;0;27;;et
90;9;39;0;24;157.0;f
91;9,1;39;0;41;165.0;f
92;9,2;39;1;40;172.0;u
93;9,3;40;1;40;178.0;u
94;9,4;39;0;45;182.0;f
95;9,5;39;1;41;183.0;u
96;9,6;39;0;44;180.0;f
97;9,7;39;0;39;182.0;f
98;9,8;41;0;43;183.0;f
99;9,9;40;1;37;185.0;u
100;10;40;0;42;188.0;f
101;10,1;39;1;45;186.0;u
102;10,2;39;1;45;186.0;u
103;10,3;40;0;34;185.0;f
104;10,4;40;0;32;185.0;et
105;10,5;40;0;30;186.0;et
106;10,6;40;0;28;187.0;et
107;10,7;40;0;44;190.0;f
108;10,8;39;0;44;187.0;f
109;10,9;40;0;39;188.0;f
110;11;38;0;42;189.0;f
111;11,1;40;0;40;194.0;f
112;11,2;40;0;37;195.0;f
113;11,3;39;1;42;194.0;u
114;11,4;40;0;44;192.0;f
115;11,5;40;0;40;190.0;f
116;11,6;39;0;43;184.0;f
117;11,7;39;0;45;180.0;f
118;11,8;39;0;22;182.0;et
119;11,9;39;0;25;180.0;et
120;12;41;0;23;;et
121;12,1;40;0;22;;et
122;12,2;40;0;26;;et
123;12,3;41;0;22;;et
124;12,4;41;0;24;;et
125;12,5;40;0;27;;et
126;12,6;41;0;23;;et
127;12,7;41;0;27;;et
128;12,8;42;0;29;;et
129;12,9;41;0;42;;f
130;13;42;0;45;;f
131;13,1;40;0;47;;f
