;t;Brauendistanz(Pixel);AU27;Mund_Nasen_Falte(Pixel/Fenstergroesse);Tonlage;Emotion
191;19,1;49;0;21;137.0;f
192;19,2;50;0;24;138.0;et
193;19,3;50;0;26;135.0;et
194;19,4;50;0;27;135.0;et
195;19,5;54;0;25;137.0;et
196;19,6;50;0;23;138.0;f
197;19,7;49;0;22;138.0;f
198;19,8;49;0;24;139.0;f
199;19,9;50;0;26;138.0;et
200;20;52;0;27;137.0;et
201;20,1;49;0;25;139.0;et
202;20,2;53;0;24;137.0;et
203;20,3;55;1;23;137.0;u
204;20,4;56;0;24;137.0;f
205;20,5;56;0;23;139.0;f
206;20,6;60;0;23;138.0;f
207;20,7;55;0;22;140.0;f
208;20,8;49;0;19;140.0;f
209;20,9;52;0;18;139.0;f
210;21;50;0;18;137.0;f
211;21,1;51;0;20;139.0;f
212;21,2;51;0;21;138.0;f
213;21,3;51;0;21;140.0;f
214;21,4;51;0;20;138.0;f
215;21,5;50;0;21;137.0;f
216;21,6;47;0;22;140.0;f
217;21,7;52;0;22;138.0;f
218;21,8;52;0;22;139.0;f
219;21,9;50;0;21;135.0;f
220;22;52;0;20;136.0;f
221;22,1;50;1;21;139.0;u
222;22,2;49;0;25;138.0;et
223;22,3;56;0;32;;et
224;22,4;55;0;30;;et
225;22,5;55;0;27;;et
226;22,6;55;0;29;;et
227;22,7;55;0;32;;et
228;22,8;53;0;33;;et
229;22,9;57;0;32;;et
230;23;55;0;32;;et
231;23,1;56;0;32;;et
232;23,2;52;0;30;;et
233;23,3;57;0;28;;et
234;23,4;57;0;26;;et
235;23,5;57;0;26;;et
236;23,6;55;0;28;;et
237;23,7;54;0;31;;et
238;23,8;52;0;34;;et
239;9,8;68;0;28;275.0;et
240;9,9;67;1;26;283.0;a
241;10;65;1;23;297.0;a
242;10,1;64;1;19;284.0;a
243;10,2;65;0;19;282.0;f
244;10,3;64;1;20;282.0;a
245;10,4;64;1;20;287.0;a
246;10,5;66;1;19;290.0;a
247;10,6;66;1;17;297.0;a
248;10,7;65;1;16;283.0;a
249;10,8;65;1;17;286.0;a
250;10,9;64;1;18;290.0;a
251;11;65;1;20;292.0;a
252;11,1;60;0;22;297.0;et
253;11,2;57;0;28;289.0;et
254;11,3;59;0;28;278.0;et
255;11,4;61;0;26;233.0;et
256;11,5;57;1;20;236.0;a
257;11,6;66;1;21;248.0;a
258;11,7;63;1;19;262.0;a
259;11,8;64;1;21;278.0;a
260;11,9;58;1;20;285.0;a
261;12;56;0;20;285.0;f
262;12,1;55;0;22;272.0;f
263;12,2;54;0;24;0.0;et
264;12,3;53;0;27;1.0;et
